0 465873 nan
1922 6 2.42391548319
1924 3 0.874175489613
1925 7 2.1352380927
1926 17 5.81985583426
1927 39 13.7483432857
1928 49 18.4054589886
1929 90 30.3229518021
1930 40 15.1488519461
1931 34 13.9422985853
1932 11 4.12241601193
1933 6 2.22001931608
1934 28 9.95398721936
1935 24 8.75299566704
1936 25 10.6634455995
1937 26 10.3458535708
1938 19 7.09481019291
1939 33 14.6985968561
1940 50 19.7558544394
1941 32 11.4400046761
1942 24 10.6179407351
1943 14 4.15591360386
1944 14 5.44728562145
1945 30 11.7424852852
1946 29 11.8462270427
1947 56 22.2329336523
1948 42 15.586176547
1949 57 23.2125890566
1950 81 32.2486557417
1951 71 30.6563662761
1952 72 28.5155563804
1953 128 51.1688956421
1954 120 53.0424834344
1955 262 109.535469385
1956 545 241.943462894
1957 577 256.70314406
1958 560 240.969614324
1959 572 247.92372266
1960 403 174.777478436
1961 558 228.419760699
1962 582 240.690825215
1963 870 349.280855106
1964 915 385.413001758
1965 1070 460.574181317
1966 1330 567.353507931
1967 1660 717.630631029
1968 1795 755.710949022
1969 2117 882.221629321
1970 2254 945.483367089
1971 2038 866.399579429
1972 2198 944.981295959
1973 2506 1068.03345122
1974 2097 901.076429042
1975 2398 1013.16908449
1976 2096 890.896229841
1977 2419 1046.85759029
1978 2830 1211.32255942
1979 2975 1269.47348485
1980 2988 1301.8920143
1981 3041 1301.18266521
1982 3464 1472.24797397
1983 3224 1402.08947434
1984 3218 1395.91335518
1985 3446 1486.54395135
1986 4081 1736.74834758
1987 4936 2098.36790336
1988 5416 2252.17862107
1989 6441 2669.8505842
1990 6975 2835.8883967
1991 8321 3405.03649563
1992 9197 3756.90562
1993 10183 4126.85699544
1994 11653 4716.56366126
1995 12761 5187.46294276
1996 13631 5541.1455533
1997 14621 5916.78238686
1998 15253 nan
1999 17499 7150.93474437
2000 18579 7562.44853311
2001 20782 8470.12588089
2002 22583 9196.34029028
2003 26357 11004.9718057
2004 28450 11691.4264337
2005 33662 13793.184864
2006 36111 14807.8356268
2007 37918 16009.2010465
2008 33410 nan
2009 29831 12949.1923316
2010 9061 4037.56222208
2011 1 0.532538585446
